unique_id,ds,cutoff,y,Naive,SeasonalNaive,AutoETS,AutoARIMA,LightGBM,AutoNBEATS,AutoNHITS,TimeGPT
10_72,2012-06-15,2012-06-08,105499.39,125434.23,127450.66,125453.07703702767,135381.19465066658,145607.0355373727,144165.36,128642.93,115114.92
10_72,2012-06-22,2012-06-08,107949.41,125434.23,117948.54,114657.5075310438,117357.42003859107,141443.1121129312,113317.766,111508.3,181358.22
10_72,2012-06-29,2012-06-08,96579.1,125434.23,114398.47,116075.62616039137,109978.8959351886,148534.66486576255,102078.17,103085.3,133881.17
10_72,2012-07-06,2012-06-08,100464.25,125434.23,108519.93,109074.83573875917,102380.37765760274,149283.02822716796,116065.23,113007.32,148005.27
10_72,2012-07-13,2012-07-06,92923.05,100464.25,115004.83,110645.29044068819,107966.68405876326,105233.90105756262,105550.414,102123.45,113516.984
10_72,2012-07-20,2012-07-06,107685.5,100464.25,110068.58,113763.70213248648,100777.53976999674,103813.29717104687,108113.3,97097.69,128507.625
10_72,2012-07-27,2012-07-06,97065.08,100464.25,108258.38,127350.25009542824,98967.33976999673,103040.24140111542,101477.22,105920.56,108459.91
10_72,2012-08-03,2012-07-06,108755.78,100464.25,128649.15,127025.80259071721,119358.10976999675,115423.31961436787,121744.11,98197.32,118301.04
10_72,2012-08-10,2012-08-03,105458.18,108755.78,129239.0,123745.57127728814,115778.92370270813,113042.4330319725,106429.83,106934.88,154650.44
10_72,2012-08-17,2012-08-03,118339.36,108755.78,152246.75,147016.5280433357,141514.60340513865,123141.36632449311,105816.914,106886.0,82868.25
10_72,2012-08-24,2012-08-03,115171.28,108755.78,125855.98,116879.07902799737,116280.5659911653,111232.62347425867,103666.57,100910.555,152181.53
10_72,2012-08-31,2012-08-03,96347.84,108755.78,139659.53,118163.55150977637,130574.60893692698,126046.28486018888,103291.46,91673.09,109210.836
10_72,2012-09-07,2012-08-31,110519.11,96347.84,123021.88,107200.10588539166,90602.5045333613,103703.55822622843,106903.305,108796.26,133395.78
10_72,2012-09-14,2012-08-31,107830.89,96347.84,113522.35,107393.15587976237,90101.4334035653,102607.51870439695,99746.77,99836.32,118182.016
10_72,2012-09-21,2012-08-31,123513.57,96347.84,116602.04,104977.52135055789,93181.1234035653,104706.81718478905,107037.914,114378.3,127820.99
10_72,2012-09-28,2012-08-31,129930.09,96347.84,123573.06,110603.50124375321,100152.14340356532,99974.86558900485,101491.836,97188.83,96836.29
